     R         lat       lng     Depth    SMdepth
   42.39735  -28.6777   14.5575  177.0652    0.0000
   42.49782  -28.6781   14.5565  177.4775    0.0000
   42.59829  -28.6785   14.5556  177.8750    0.0000
   42.69875  -28.6789   14.5547  178.2575    0.0000
   42.79922  -28.6793   14.5538  178.6256    0.0000
   42.89969  -28.6797   14.5528  178.9784    0.0000
   43.00016  -28.6801   14.5519  179.6369    0.0000
   43.10062  -28.6804   14.5510  180.3088    0.0000
   43.20109  -28.6808   14.5500  180.9595    0.0000
   43.30156  -28.6812   14.5491  181.5891    0.0000
   43.40203  -28.6816   14.5482  182.1982    0.0000
   43.50249  -28.6820   14.5473  182.7859    0.0000
   43.60296  -28.6824   14.5463  183.3513    0.0000
   43.70343  -28.6828   14.5454  183.8972    0.0000
   43.80390  -28.6832   14.5445  184.4224    0.0000
   43.90437  -28.6836   14.5435  184.9263    0.0000
   44.00483  -28.6840   14.5426  185.4093    0.0000
   44.10530  -28.6844   14.5417  185.8733    0.0000
   44.20577  -28.6847   14.5408  186.4273    0.0000
   44.30624  -28.6851   14.5398  186.9795    0.0000
   44.40670  -28.6855   14.5389  187.5291    0.0000
   44.50717  -28.6859   14.5380  188.0754    0.0000
   44.60764  -28.6863   14.5370  188.6187    0.0000
   44.70811  -28.6867   14.5361  189.1590    0.0000
   44.80857  -28.6871   14.5352  189.6967    0.0000
   44.90904  -28.6875   14.5343  190.2299    0.0000
   45.00951  -28.6879   14.5333  190.7613    0.0000
   45.10997  -28.6883   14.5324  191.2901    0.0000
   45.21044  -28.6887   14.5315  191.8155    0.0000
   45.31091  -28.6890   14.5305  192.3380    0.0000
   45.41138  -28.6894   14.5296  192.8578    0.0000
   45.51184  -28.6898   14.5287  193.3732    0.0000
   45.61231  -28.6902   14.5278  193.8867    0.0000
   45.71278  -28.6906   14.5268  194.3973    0.0000
   45.81325  -28.6910   14.5259  194.9052    0.0000
   45.91372  -28.6914   14.5250  195.4366    0.0000
   46.01418  -28.6918   14.5240  197.0572    0.0000
   46.11465  -28.6922   14.5231  198.6912    0.0000
   46.21512  -28.6926   14.5222  200.3345    0.0000
   46.31559  -28.6929   14.5213  201.9909    0.0000
   46.41605  -28.6933   14.5203  203.6606    0.0000
   46.51652  -28.6937   14.5194  205.3408    0.0000
   46.61699  -28.6941   14.5185  207.0328    0.0000
   46.71746  -28.6945   14.5176  208.5996    0.0000
   46.81792  -28.6949   14.5166  210.0197    0.0000
   46.91839  -28.6953   14.5157  211.3938    0.0000
   47.01886  -28.6957   14.5148  212.7232    0.0000
   47.11933  -28.6961   14.5138  214.0093    0.0000
   47.21980  -28.6965   14.5129  215.2494    0.0000
   47.32026  -28.6969   14.5120  216.4448    0.0000
   47.42073  -28.6972   14.5111  217.5977    0.0000
   47.52120  -28.6976   14.5101  218.7039    0.0000
   47.62167  -28.6980   14.5092  219.7655    0.0000
   47.72213  -28.6984   14.5083  220.7550    0.0000
   47.82260  -28.6988   14.5073  220.9032    0.0000
   47.92307  -28.6992   14.5064  221.0750    0.0000
   48.02354  -28.6996   14.5055  221.2707    0.0000
   48.12400  -28.7000   14.5046  221.4916    0.0000
   48.22447  -28.7004   14.5036  221.7352    0.0000
   48.32494  -28.7008   14.5027  222.0028    0.0000
   48.42541  -28.7012   14.5018  222.2947    0.0000
   48.52588  -28.7015   14.5008  222.6102    0.0000
   48.62634  -28.7019   14.4999  222.9496    0.0000
   48.72681  -28.7023   14.4990  223.3135    0.0000
   48.82728  -28.7027   14.4981  223.7012    0.0000
   48.92775  -28.7031   14.4971  224.1125    0.0000
   49.02821  -28.7035   14.4962  224.5477    0.0000
